id,hotel_name,address,Latitude,Longitude,price_range,関連サイト,charger_type,charger_count,出力,最大電流値,種別,充電課金,駐車料金,連絡・申込,事前予約,メーカー,認証,備考,image_url,affiliate_url,lat_lng
1,ルートインGrand中野小布施 -信州中野駅前-  /  ルートインジャパン(株),長野県中野市西1-3-27,36.7448071,138.3663746,"7,273円〜（消費税込8,000円〜）",https://www.route-inn.co.jp/hotel_list/nagano/index_hotel_id_712/,普通/急速,2台,6kW,30A,ポール型ケーブル付き,有料,無料,必要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
TOYOTA Wallet

EV 充電認証カード料金表","【利用案内】15時~翌10時までは宿泊者優先・宿泊のお客様はホテル公式サイトで詳細確認下さい・設備施錠のため利用時はフロントまでお申し付け下さい
エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能
【注意】最大出力(参考値)は対応車での充電時のみ対応            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=187457,https://travel.rakuten.co.jp/HOTEL/187457/187457.html,"36.7448071,36.7448071"
2,還元陶板浴 温,東京都武蔵村山市本町2-42-1,35.7573758,139.3810035,,https://musashimurayamatown.com/?p=795,普通/急速,1台,50kW,125A,高速（40 - 89kW）,有料,無料,不要,不可,DMM,DMM EV ON,"【利用案内】スマートフォン用アプリ「DMM EV ON」の登録が必要
【充電料金】1分/55円",,,"35.7573758,35.7573758"
3,天然温泉 湯どんぶり 栄湯,東京都台東区日本堤1-4-5,35.7254577,139.7987566,,https://sakaeyu.com/,普通/急速,1台,50kW,125A,高速（40 - 89kW）,有料,無料,不要,不可,DMM,DMM EV ON,"【利用案内】スマートフォン用アプリ「DMM EV ON」の登録が必要
【充電料金】1分/55円",,,"35.7254577,35.7254577"
4,【宿泊専用】ファミリーロッジ旅籠屋･大阪港店  /  (株)旅籠屋,大阪府大阪市港区築港2-5-16,34.6510836,135.4328075,"4,950円〜（消費税込5,445円〜）",https://stg-hatagoya.com/osakakou/,普通,1台,3kW,15A,コンセントのみ,有料,条件付無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=172570,https://travel.rakuten.co.jp/HOTEL/172570/172570.html,"34.6510836,34.6510836"
5,【宿泊専用】ファミリーロッジ旅籠屋･清水興津店  /  (株)旅籠屋,静岡県静岡市清水区興津中町1381-11,35.0608289,138.5250067,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/shimizuokitsu/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=158553,https://travel.rakuten.co.jp/HOTEL/158553/158553.html,"35.0608289,35.0608289"
6,【宿泊専用】ファミリーロッジ旅籠屋･鹿児島垂水店  /  (株)旅籠屋,鹿児島県垂水市市木341-1,31.5023999,130.70023,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/kagoshimatarumizu/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=148930,https://travel.rakuten.co.jp/HOTEL/148930/148930.html,"31.5023999,31.5023999"
7,【宿泊専用】ファミリーロッジ旅籠屋･宮崎店  /  (株)旅籠屋,宮崎県宮崎市吉村町南田1129,31.9197283,131.4437535,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/miyazaki/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=178681,https://travel.rakuten.co.jp/HOTEL/178681/178681.html,"31.9197283,31.9197283"
8,【宿泊専用】ファミリーロッジ旅籠屋･日向門川店  /  (株)旅籠屋,宮崎県東臼杵郡門川町加草2335-1,32.481318,131.6577781,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/hyugakadogawa/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=177625,https://travel.rakuten.co.jp/HOTEL/177625/177625.html,"32.481318,32.481318"
9,【宿泊専用】ファミリーロッジ旅籠屋･四万十店  /  (株)旅籠屋,高知県高岡郡四万十町東大奈路519,33.2290394,133.1487831,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/shimanto/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=167315,https://travel.rakuten.co.jp/HOTEL/167315/167315.html,"33.2290394,33.2290394"
10,【宿泊専用】ファミリーロッジ旅籠屋･高知店  /  (株)旅籠屋,高知県高知市比島町2-8-28,33.5702751,133.5504995,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/kochi/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=179610,https://travel.rakuten.co.jp/HOTEL/179610/179610.html,"33.5702751,33.5702751"
11,【宿泊専用】ファミリーロッジ旅籠屋･室戸店  /  (株)旅籠屋,高知県室戸市浮津三番町136-2,33.2944829,134.1421578,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/muroto/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=153158,https://travel.rakuten.co.jp/HOTEL/153158/153158.html,"33.2944829,33.2944829"
12,【宿泊専用】ファミリーロッジ旅籠屋･松山店  /  (株)旅籠屋,愛媛県松山市梅津寺1865,33.873709,132.7086509,,https://stg-hatagoya.com/matsuyama/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",,,"33.873709,33.873709"
13,【宿泊専用】ファミリーロッジ旅籠屋･新居浜店  /  (株)旅籠屋,愛媛県新居浜市竜の宮町7-10,33.9453968,133.2798552,,https://stg-hatagoya.com/niihama/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",,,"33.9453968,33.9453968"
14,【宿泊専用】ファミリーロッジ旅籠屋･吉野川SA店  /  (株)旅籠屋,徳島県三好郡東みよし町足代1603-3,34.0374026,133.8913636,,https://stg-hatagoya.com/yoshinogawasa/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",,,"34.0374026,34.0374026"
15,【宿泊専用】ファミリーロッジ旅籠屋･長門店  /  (株)旅籠屋,山口県長門市東深川801-22,34.3772066,131.1870908,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/nagato/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=180596,https://travel.rakuten.co.jp/HOTEL/180596/180596.html,"34.3772066,34.3772066"
16,【宿泊専用】ファミリーロッジ旅籠屋･境港店  /  (株)旅籠屋,鳥取県境港市上道町2174-1,35.5422328,133.2427717,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/sakaiminato/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=165571,https://travel.rakuten.co.jp/HOTEL/165571/165571.html,"35.5422328,35.5422328"
17,【宿泊専用】ファミリーロッジ旅籠屋･井原店  /  (株)旅籠屋,岡山県井原市笹賀町1-13-3,34.5898489,133.441997,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/ibara/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=167878,https://travel.rakuten.co.jp/HOTEL/167878/167878.html,"34.5898489,34.5898489"
18,【宿泊専用】ファミリーロッジ旅籠屋･岡山店  /  (株)旅籠屋,岡山県岡山市北区高松252-1,34.687716,133.8198759,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/okayama/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=149300,https://travel.rakuten.co.jp/HOTEL/149300/149300.html,"34.687716,34.687716"
19,【宿泊専用】ファミリーロッジ旅籠屋･津山店  /  (株)旅籠屋,岡山県津山市院庄1037-7,35.0596155,133.9475736,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/tsuyama/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=149426,https://travel.rakuten.co.jp/HOTEL/149426/149426.html,"35.0596155,35.0596155"
20,【宿泊専用】ファミリーロッジ旅籠屋･鳥取倉吉店  /  (株)旅籠屋,鳥取県東伯郡湯梨浜町長和田1574,35.4601682,133.8767082,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/tottorikurayoshi/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=148931,https://travel.rakuten.co.jp/HOTEL/148931/148931.html,"35.4601682,35.4601682"
21,【宿泊専用】ファミリーロッジ旅籠屋･たつの店  /  (株)旅籠屋,兵庫県たつの市龍野町堂本228-1,34.8584475,134.5535152,"3,850円〜（消費税込4,235円〜）",https://stg-hatagoya.com/tatsuno/,普通,1台,3kW,15A,コンセントのみ,有料,無料,必要,可能,Panasonic,,"【利用案内】宿泊者専用・事前予約制・充電ケーブルを用意下さい
【充電料金】1泊/1,500円(税込み)",https://img.travel.rakuten.co.jp/image/imgr_90?no=158704,https://travel.rakuten.co.jp/HOTEL/158704/158704.html,"34.8584475,34.8584475"
