id,name,address,lat,lng,price,site_url,ev_type,charger_count,output,max_current,category,charging_fee,parking_fee,contact,reservation,manufacturer,auth,notes,image_url,affiliate_url,lat_lng,source
1,すどまりの宿マルトモ荘,沖縄県石垣市真栄里99-11,24.3341031,124.1685962,"3,546円〜（消費税込3,900円〜）",https://marutomo-so.jimdofree.com/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
TOYOTA Wallet

EV 充電認証カード料金表","※施設の電気容量により一時的に出力が変動する場合があります。 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能
【注意】最大出力(参考値)は対応車での充電時のみ対応            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=179305,https://travel.rakuten.co.jp/HOTEL/179305/179305.html,"24.3341031,124.1685962",https://ev.gogo.gs/detail/28spqqg3
2,ルートイングランティア石垣  /  ルートインジャパン(株),沖縄県石垣市新栄町21,24.3450213,124.1483269,"4,000円〜（消費税込4,400円〜）",https://www.hotel-grantia.co.jp/ishigaki/,普通,1台,6kW,30A,ポール型ケーブル付き,有料,無料,必要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","【設置位置】エントランス北側 / 【利用案内】宿泊者優先・ご宿泊のお客様はホテル公式サイトで詳細確認下さい・設備施錠のため利用時はフロントまでお申し付け下さい
【充電料金】10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
【注意】最大出力(参考値)は対応車での充電時のみ対応            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=10984,https://travel.rakuten.co.jp/HOTEL/10984/10984.html,"24.3450213,124.1483269",https://ev.gogo.gs/detail/25wue4g3
3,アートホテル石垣島  /  アイコニア･ホスピタリティ(株),沖縄県石垣市字大川559-2,24.3478433,124.1606086,,https://www.art-ishigakijima.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応)
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",,,"24.3478433,124.1606086",https://ev.gogo.gs/detail/27bfm71w
4,グランヴィリオリゾート石垣島  /  ルートインジャパン(株),沖縄県石垣市新川舟蔵2481-1,24.3575044,124.123894,"6,219円〜（消費税込6,840円〜）",https://www.grandvrio-hotelresort.com/ishigaki/,普通,1台,6kW,30A,ポール型ケーブル付き,有料,無料,必要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","【設置位置】エントランス奥 建物寄り / 【利用案内】宿泊者優先・ご宿泊のお客様はホテル公式サイトで詳細確認下さい・設備施錠のため利用時はフロントまでお申し付け下さい
【充電料金】10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
【注意】最大出力(参考値)は対応車での充電時のみ対応            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=69360,https://travel.rakuten.co.jp/HOTEL/69360/69360.html,"24.3575044,124.123894",https://ev.gogo.gs/detail/25wuelye
5,フサキビーチリゾート ホテル＆ヴィラズ  /  アイコニア･ホスピタリティ(株),沖縄県石垣市新川1625,24.3710336,124.114511,"5,455円〜（消費税込6,000円〜）",https://www.fusaki.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,条件付無料,不要,不可,日東工業,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応)
【駐車料金】宿泊者は無料 / 宿泊以外の方は60分/500円・施設利用でサービスあり
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=145378,https://travel.rakuten.co.jp/HOTEL/145378/145378.html,"24.3710336,124.114511",https://ev.gogo.gs/detail/2699drth
6,明石 美ら馬ハウス,沖縄県石垣市伊原間365-1,24.5389144,124.300927,,https://churauma-house.jimdofree.com/,普通,1台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応)
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",,,"24.5389144,124.300927",https://ev.gogo.gs/detail/269fz27z
7,スターハウス宮古島,沖縄県宮古島市下地川満803-3,24.7533165,125.3062787,-,,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","※施設の電気容量により一時的に出力が変動する場合があります。
【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=180352,https://travel.rakuten.co.jp/HOTEL/180352/180352.html,"24.7533165,125.3062787",https://ev.gogo.gs/detail/28tosxrh
8,Lハウス宮古島,沖縄県宮古島市平良久貝851-48,24.7945464,125.2740381,-,https://travel.rakuten.co.jp/HOTEL/181724/181724.html,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","※施設の電気容量により一時的に出力が変動する場合があります。
【利用案内】宿泊利用の場合のみ15時~翌9時利用可
【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=181724,https://travel.rakuten.co.jp/HOTEL/181724/181724.html,"24.7945464,125.2740381",https://ev.gogo.gs/detail/28zpaoqf
9,セイルイン宮古島  /  (有)クルーアイランド,沖縄県宮古島市平良字下里3,24.8043231,125.2790894,"2,728円〜（消費税込3,000円〜）",https://www.crewis.co.jp/,普通,2台,3kW,15A,コンセントのみ,無料,無料,必要,不可,Panasonic,,【利用案内】緊急用のみ対応・電話連絡またはホテルのフロントで申込み下さい /,https://img.travel.rakuten.co.jp/image/imgr_90?no=164915,https://travel.rakuten.co.jp/HOTEL/164915/164915.html,"24.8043231,125.2790894",https://ev.gogo.gs/detail/1q4k38r2
10,ホテルアートアベニュー宮古島,沖縄県宮古島市平良西里7,24.807736,125.2798903,"4,646円〜（消費税込5,110円〜）",https://hotel.artavenue.co.jp/,普通,2台,3kW,15A,コンセントのみ,無料,無料,必要,不可,Panasonic,,【利用案内】フロントにて申込み・充電ケーブルが必要です /,https://img.travel.rakuten.co.jp/image/imgr_90?no=187406,https://travel.rakuten.co.jp/HOTEL/187406/187406.html,"24.807736,125.2798903",https://ev.gogo.gs/detail/1q4k28jx
